148	150	t
148	151	t
149	107	t
149	147	t
149	114	t
149	148	t
149	149	t
149	150	t
149	151	t
150	107	t
150	147	t
150	114	t
150	148	t
150	149	t
150	150	t
150	151	t
151	107	t
151	147	t
151	114	t
151	148	t
151	149	t
151	150	t
151	151	t
152	107	t
152	147	t
152	114	t
152	148	t
152	149	t
152	150	t
152	151	t
153	107	t
153	147	t
153	114	t
153	148	t
153	149	t
153	150	t
153	151	t
154	152	t
154	153	t
155	152	t
155	154	t
155	155	t
157	152	t
157	154	t
157	155	t
158	152	t
158	154	t
158	156	t
159	152	t
159	154	t
159	156	t
160	152	t
160	154	t
160	156	t
162	152	t
162	158	t
163	152	t
163	159	t
164	152	t
164	160	t
165	152	t
165	161	t
166	152	t
166	162	t
172	30	t
172	12	f
172	13	t
172	14	t
172	15	t
172	17	t
172	18	t
172	19	t
172	20	t
172	32	t
172	22	t
172	23	t
172	24	t
172	25	t
172	26	t
172	27	t
172	28	t
99	62	t
285	62	t
285	71	t
285	72	t
285	6	t
285	182	t
285	183	t
285	184	t
285	185	t
285	77	t
285	186	t
285	79	t
285	80	t
285	81	t
47	81	t
47	68	t
47	77	t
47	73	t
47	62	t
47	72	t
47	71	t
47	6	t
47	66	t
47	67	t
47	70	t
47	69	t
47	79	t
47	76	t
47	91	t
47	64	f
47	80	t
47	78	t
47	65	f
47	63	t
46	81	t
46	68	t
46	77	t
46	73	t
46	62	t
46	72	t
46	71	t
46	6	t
46	66	t
46	67	t
46	70	t
46	69	t
46	79	t
46	76	t
46	91	t
46	64	t
46	80	t
46	78	t
46	65	t
46	63	f
50	88	t
50	68	f
50	83	t
50	62	t
50	82	t
50	6	t
50	66	f
50	67	f
50	70	f
50	69	f
50	85	t
50	76	t
50	91	t
50	87	t
50	64	f
50	80	t
50	84	t
50	65	f
50	86	t
50	63	f
49	68	f
49	83	t
49	62	t
49	82	t
49	6	t
49	66	f
49	67	f
49	70	f
49	69	f
49	85	t
49	76	t
49	91	t
49	87	t
49	64	f
49	80	t
49	84	t
49	65	f
49	86	t
49	63	f
45	81	t
45	68	t
45	77	t
45	73	t
45	62	t
45	72	t
45	71	t
45	6	t
45	66	t
45	67	t
45	70	t
45	69	t
45	79	t
45	76	t
45	91	t
45	64	f
45	80	t
45	78	t
45	65	f
45	63	f
44	81	t
44	68	f
44	77	t
44	73	t
44	62	t
44	72	t
44	71	t
44	6	t
44	66	f
44	67	f
44	70	f
44	69	f
44	79	t
44	76	t
44	91	t
44	64	f
44	80	t
44	78	t
44	65	f
44	63	f
56	97	t
56	104	t
56	103	t
56	96	t
56	95	t
56	94	t
56	93	t
56	100	t
56	99	t
56	102	t
56	101	t
56	92	t
56	98	t
56	105	t
6	18	t
6	12	f
6	23	t
6	26	t
6	25	t
6	28	t
6	17	f
6	16	f
6	15	f
6	20	t
6	24	t
6	14	f
6	19	t
6	13	f
6	32	t
6	27	t
6	22	t
6	33	t
286	191	t
286	190	t
286	192	t
286	99	t
286	189	t
286	193	t
287	194	t
287	99	t
287	192	t
287	189	t
287	195	t
268	8	t
268	10	t
268	7	t
268	106	t
268	9	t
265	8	t
265	7	t
264	8	t
264	7	t
266	8	t
266	7	t
267	8	t
267	10	t
267	7	t
267	106	t
267	9	t
142	143	t
142	135	t
142	140	t
142	99	t
142	139	t
142	136	t
142	144	t
142	145	t
142	138	t
142	137	t
142	98	t
142	142	t
142	141	t
143	143	t
143	135	t
143	140	t
143	99	t
143	146	t
143	136	t
143	144	t
143	145	t
143	138	t
143	137	t
143	98	t
143	142	t
143	141	t
279	165	t
279	166	t
279	167	t
279	164	t
\.


